F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-DependencyManagement,F16-RepositoryBase,F16-RepositoryPolicy,F16-Plugin,F16-Object,F16-char,F16-ActivationFile,F16-NA,F16-void,F16-int,F16-Artifact,F16-boolean,F16-Repository,F16-String,F16-Date,F16-Resource,F16-Activation,F16-Model,F16-Settings,F16-Notifier,F3-NA,F3-Model,F3-VersionRange,F3-localRepository(),F3-problems.getModel(),F3-DefaultBeanConfigurationRequest,F3-File,F3-InputStream,F3-null,F3-boolean,F3-settingsSource.getInputStream(),F3-ProjectSegment,F3-XmlPullParser,F3-String,F3-int,F3-ModelBuildingRequest,F3-MavenSession,F3-Artifact,F3-SimpleProblemCollector,F3-Map<String >,F7--,F7-+=,F7-NA,F7-*,F7-+,F12-File,F12-NA,F12-boolean,F12-String,F12-ThreadOutputMuxer,F12-List<TransferEvent>,F12-List<String>,F17-final,F17-NA,F2-Class,F2-NA,F2-Map<String String>,F2-Integer,F2-Byte,F2-ByteArrayOutputStream,F2-StringTokenizer,F2-Short,F2-SettingsXpp3Reader,F2-HashMap<String Artifact>,F2-String,F2-MavenRepositorySystem,F2-Collections,F2-Double,F2-Long,F2-Float,F2-DefaultInheritanceAssemblerTest,F2-DefaultModelValidatorTest,F2-MavenToolchainsXpp3Reader,F2-File,F6-java.io.ByteArrayOutputStream,F6-NA,F6-org.apache.maven.model.io.xpp3.RepositoryBase,F6-java.util.ArrayList,F6-java.util.Properties,F6-java.io.PrintStream,F6-org.apache.maven.model.io.xpp3.InputLocation,F6-org.apache.maven.model.io.xpp3.PatternSet,F6-org.apache.maven.model.io.xpp3.ModelBase,F6-org.apache.maven.model.building.FileModelSource,F6-java.io.File,F6-org.apache.maven.project.DefaultProjectBuildingRequest,F6-org.apache.maven.repository.internal.VersionRequest,F6-java.util.HashMap<java.lang.String java.lang.String>,F6-org.apache.maven.model.io.xpp3.FileSet,F6-org.apache.maven.model.io.xpp3.XmlPullParserException,F6-org.apache.maven.model.validation.SimpleProblemCollector,F6-org.apache.maven.settings.DefaultProjectBuildingRequest,F6-org.apache.maven.model.io.xpp3.PluginContainer,F6-org.apache.maven.model.io.xpp3.PluginConfiguration,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-shortValue,F1-getProject,F1-doubleValue,F1-startTag,F1-getAttributeValue,F1-getAttributeCount,F1-delete,F1-NA,F1-getBasedir,F1-getPluginRepositories,F1-getBooleanValue,F1-longValue,F1-floatValue,F1-charAt,F1-getPlugins,F1-getTouchfile,F1-read,F1-getName,F1-mkdirs,F1-byteValue,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-java.util.HashSet,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F9-request,F9-slf4jBinding,F9-artifacts,F9-buildStartTime,F9-modelPool,F9-dependency,F9-startTime,F9-project,F9-remoteRepositories,F9-dependant,F9-supported,F9-cpc,F9-graph,F9-pomArtifact,F9-originatingArtifact,F9-NA,F9-relocatedArtifact,F9-pomFile,F9-dataBuffer,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Integer,F4-boolean,F4-InputStream,F4-long,F4-Artifact,F4-Date,F4-float,F4-char,F4-byte[],F4-File,F4-void,F4-double,F4-List,F4-String,F4-int,F4-Build,F4-short,F4-Model,F4-byte,F8-Dependency,F8-DefaultMavenExecutionRequest,F8-MetadataResolutionResult,F8-DefaultProjectBuilderConfiguration,F8-ArtifactTransferEvent,F8-UnsupportedSlf4jBindingConfiguration,F8-CacheRecord,F8-SettingsAdapter,F8-ClasspathGraphVisitor,F8-NA,F8-DefaultModelBuildingRequest,F8-InternalConfig,F8-ProjectBuilder,F11-lifecyclePhase,F11-artifactExists,F11-NA,F11-artifactUri,F11-messages,F11-events,F11-threadOutputMuxer,F11-userMavenConfigurationHome,F11-EMPTY_PROJECT_GROUP_ID,F11-alias,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-stephen.alan.connolly@gmail.com,F71-ogusakov@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-aheritier@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-rfscholte@codehaus.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-igor@ifedorenko.com,F71-bentmann@apache.org,F71-jason@tesla.io,F71-krosenvold@apache.org,F71-michaelo@apache.org,F71-jdcasey@apache.org,F74,F73,F84,F146,label
2815,org/apache/maven,org/apache/maven/AbstractCoreMavenComponentTestCase.java,2100,TRUE,17,13,1532,3,12,155,6,33,0.402777778,269,36,0.133828996,0.352941176,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,6,STYLE,0.080046404,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.016018307,0.006864989,0.001144165,-1,0.043478261,0.002310439,0.02200489,0.02920999,-0.855072464,0.003480278,0.006960557,0.02920999,-0.714285714,-1,11,1825,1967,2092,0,0.001833069,36,0,0,36,3.27E-04,80,39,26,145,0,41,0,0.035413116,15,3789,15,1742,649,0,6180,2047,0.126028777,41,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,307,10178,41,307,open
2815,org/apache/maven,org/apache/maven/AbstractCoreMavenComponentTestCase.java,2100,TRUE,4,13,1532,3,8,155,1,33,0.591666667,269,36,0.133828996,0.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,6,STYLE,0.080046404,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.016018307,0.006864989,0.001144165,-1,0.043478261,0.002310439,0.02200489,0.02920999,-0.855072464,0.003480278,0.006960557,0.02920999,-0.714285714,-1,9,1543,1895,1810,0,0.001833069,36,0,0,36,3.27E-04,80,39,26,145,0,41,0,0.035413116,15,3789,15,1742,649,0,6180,2047,0.126028777,41,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,307,10178,41,307,open
2815,org/apache/maven,org/apache/maven/AbstractCoreMavenComponentTestCase.java,2100,TRUE,13,13,1532,3,8,155,2,33,0.552777778,269,36,0.133828996,0.923076923,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,6,STYLE,0.080046404,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.016018307,0.006864989,0.001144165,-1,0.043478261,0.002310439,0.02200489,0.02920999,-0.855072464,0.003480278,0.006960557,0.02920999,-0.714285714,-1,9,1543,1895,1810,0,0.001833069,36,0,0,36,3.27E-04,80,39,26,145,0,41,0,0.035413116,15,3789,15,1742,649,0,6180,2047,0.126028777,41,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,307,10178,41,307,open
2815,org/apache/maven,org/apache/maven/AbstractCoreMavenComponentTestCase.java,2100,TRUE,0,13,1532,3,0,155,1,33,0.9,269,36,0.133828996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,6,CORRECTNESS,0.001160093,IL_INFINITE_RECURSIVE_LOOP,9,1,1,0.016018307,0.006864989,0.001144165,-1,0,0,0.02,0.033257143,-1,0.001160093,0,0.033257143,-0.714285714,-1,23,2172,2043,2439,0,0.001833069,36,0,0,36,3.27E-04,80,39,26,145,0,41,0,0.035413116,15,3789,15,1742,649,0,6180,2047,0.126028777,41,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,307,10178,41,307,open
2815,org/apache/maven,org/apache/maven/AbstractCoreMavenComponentTestCase.java,2100,TRUE,0,13,1532,3,8,155,1,33,0.869444444,269,36,0.133828996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,6,PERFORMANCE,0.00812065,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.016018307,0.006864989,0,0,0,0,0.031914894,0.010980863,-0.714285714,0,0.006960557,0.010980863,-0.714285714,-1,29,2548,2100,2815,0,0.001833069,36,0,0,36,3.27E-04,80,39,26,145,0,41,0,0.035413116,15,3789,15,1742,649,0,6180,2047,0.126028777,41,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,307,10178,41,307,open
2815,org/apache/maven,org/apache/maven/AbstractCoreMavenComponentTestCase.java,2100,TRUE,0,13,1532,3,8,155,1,33,0.613888889,269,36,0.133828996,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,14,6,PERFORMANCE,0.00812065,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.016018307,0.006864989,0,0,0,0,0.031914894,0.010980863,-0.714285714,0,0.006960557,0.010980863,-0.714285714,-1,29,2548,2100,2815,0,0.001833069,36,0,0,36,3.27E-04,80,39,26,145,0,41,0,0.035413116,15,3789,15,1742,649,0,6180,2047,0.126028777,41,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,307,10178,41,307,open
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,2071,TRUE,70,20,1532,1,13,155,6,33,0.514763231,827,83,0.100362757,0.085714286,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,EXPERIMENTAL,0.004640371,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,2,0.016018307,0.003432494,0.00228833,1,1,0,0.625,0.040178571,1,0.004640371,0.001160093,0.040178571,-0.714285714,0.333333333,344,9513,3796,9780,0,0.001966955,36,0,0,36,3.27E-04,2041,1348,522,3911,0,693,0,0.182791712,5,3789,5,1742,649,0,6180,2047,0.126028777,41,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,307,10178,41,307,close
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,2071,TRUE,8,20,1532,1,8,155,2,33,0.532961931,827,83,0.100362757,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,BAD_PRACTICE,0.039443155,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.016018307,0.003432494,0.001144165,-1,0.029411765,0.001903114,0.018072289,0.1430468,-0.941176471,0.002320186,0.002320186,0.1430468,-0.714285714,0.333333333,72,1562,1898,1829,0,0.001966955,36,0,0,36,3.27E-04,2041,1348,522,3911,0,693,0,0.182791712,5,3789,5,1742,649,0,6180,2047,0.126028777,41,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,307,10178,41,307,open
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,2071,TRUE,14,20,1532,1,8,155,2,33,0.510677809,827,83,0.100362757,0.214285714,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,BAD_PRACTICE,0.005800464,UI_INHERITANCE_UNSAFE_GETRESOURCE,19,3,2,0.016018307,0.003432494,0.00228833,1,0.2,0.010666667,0.018072289,0.1430468,-0.6,0.002320186,0.002320186,0.1430468,-0.714285714,0.333333333,53,1136,1588,1403,0,0.001966955,36,0,0,36,3.27E-04,2041,1348,522,3911,0,693,0,0.182791712,5,3789,5,1742,649,0,6180,2047,0.126028777,41,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,307,10178,41,307,close
9780,org/apache/maven,org/apache/maven/MavenTest.java,3796,TRUE,0,4,1532,1,8,155,1,33,0.52173913,44,16,0.363636364,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,2,PERFORMANCE,0.009280742,URF_UNREAD_FIELD,18,2,0,0.016018307,0.00228833,0,0,0.125,0.0109375,0.031914894,0.010980863,-0.75,0,0.006960557,0.010980863,-0.714285714,-1,6,2309,2059,2576,0,0,36,0,0,36,3.27E-04,86,5,4,95,0,81,0,0.024378283,0,3789,0,1742,649,0,6180,2047,0.126028777,357,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,623,10178,41,307,open
